	roi	ab_ref_index_mean	ab_ref_index_sem	af_ref_index_mean	af_ref_index_sem	ab_af_diff	ab_af_p_val_unilateral	ab_af_p_text_unilateral	ab_af_p_val_bilateral	ab_af_p_text_bilateral	ab_zero_diff	ab_zero_p_val_unilateral	ab_zero_p_text_unilateral	ab_zero_p_val_bilateral	ab_zero_p_text_bilateral	af_zero_diff	af_zero_p_val_unilateral	af_zero_p_text_unilateral	af_zero_p_val_bilateral	af_zero_p_text_bilateral
0	V1	0.3366738393358506	0.017314611563315107	0.30126065658685897	0.018457402403146257	0.035413182748991634	0.03515625	p < 0.05	0.0703125	p = 0.07	0.3366738393358506	0.0	p < 0.0001	0.0	p < 0.0001	0.30126065658685897	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V2	0.2880555550627045	0.02188132671757473	0.19553811338091717	0.023141681229377865	0.09251744168178735	0.00390625	p < 0.01	0.0078125	p < 0.01	0.2880555550627045	0.00390625	p < 0.01	0.0078125	p < 0.01	0.19553811338091717	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V3	0.29475408795405245	0.01861128229342473	0.15414895021297226	0.026282683791291082	0.1406051377410802	0.0	p < 0.0001	0.0	p < 0.0001	0.29475408795405245	0.0	p < 0.0001	0.0	p < 0.0001	0.15414895021297226	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V3AB	0.27461377982714524	0.019530274353205614	0.20220963972708988	0.03841518833734841	0.07240414010005536	0.08203125	p = 0.08	0.1640625	p = 0.16	0.27461377982714524	0.0	p < 0.0001	0.0	p < 0.0001	0.20220963972708988	0.0078125	p < 0.01	0.015625	p < 0.05
0	hMT+	0.21556844629806293	0.026377305822285643	0.21977381042501382	0.04230251405503714	-0.0042053641269508835	0.47265625	p = 0.47	0.9453125	p = 0.95	0.21556844629806293	0.00390625	p < 0.01	0.0078125	p < 0.01	0.21977381042501382	0.0078125	p < 0.01	0.015625	p < 0.05
0	LO	0.2412154350803928	0.022549083328096065	0.2280558070712374	0.05027935137025726	0.013159628009155405	0.40234375	p = 0.40	0.8046875	p = 0.80	0.2412154350803928	0.00390625	p < 0.01	0.0078125	p < 0.01	0.2280558070712374	0.0078125	p < 0.01	0.015625	p < 0.05
0	VO	0.19687219600341305	0.011267472770229952	0.17127047843473234	0.027093986548676233	0.02560171756868071	0.19140625	p = 0.19	0.3828125	p = 0.38	0.19687219600341305	0.0	p < 0.0001	0.0	p < 0.0001	0.17127047843473234	0.0	p < 0.0001	0.0	p < 0.0001
0	iIPS	0.24523274745781828	0.015951166362389257	0.1911162766755492	0.03546680290193891	0.05411647078226908	0.10546875	p = 0.11	0.2109375	p = 0.21	0.24523274745781828	0.00390625	p < 0.01	0.0078125	p < 0.01	0.1911162766755492	0.00390625	p < 0.01	0.0078125	p < 0.01
0	sIPS	0.2060365100352774	0.014990588654044517	0.17616805847964545	0.02344753630563596	0.029868451555631947	0.1640625	p = 0.16	0.328125	p = 0.33	0.2060365100352774	0.00390625	p < 0.01	0.0078125	p < 0.01	0.17616805847964545	0.00390625	p < 0.01	0.0078125	p < 0.01
0	iPCS	0.1992189179872246	0.023273110587132495	0.1848565584898015	0.02543585209686996	0.014362359497423094	0.4140625	p = 0.41	0.828125	p = 0.83	0.1992189179872246	0.00390625	p < 0.01	0.0078125	p < 0.01	0.1848565584898015	0.00390625	p < 0.01	0.0078125	p < 0.01
0	sPCS	0.2078394250332104	0.025054982281108484	0.20519936391920038	0.0282364604410174	0.0026400611140100227	0.46875	p = 0.47	0.9375	p = 0.94	0.2078394250332104	0.00390625	p < 0.01	0.0078125	p < 0.01	0.20519936391920038	0.0	p < 0.0001	0.0	p < 0.0001
0	mPCS	0.1774843075650157	0.01651930097403212	0.1751273089698715	0.018569720092420347	0.0023569985951442107	0.4375	p = 0.44	0.875	p = 0.88	0.1774843075650157	0.00390625	p < 0.01	0.0078125	p < 0.01	0.1751273089698715	0.0	p < 0.0001	0.0	p < 0.0001
