	roi	cond	retino_r2change_mean	retino_r2change_sem	spatio_r2change_mean	spatio_r2change_sem	retino_spatio_diff	retino_spatio_p_val_unilateral	retino_spatio_p_text_unilateral	retino_spatio_p_val_bilateral	retino_spatio_p_text_bilateral	retino_zero_diff	retino_zero_p_val_unilateral	retino_zero_p_text_unilateral	retino_zero_p_val_bilateral	retino_zero_p_text_bilateral	spatio_zero_diff	spatio_zero_p_val_unilateral	spatio_zero_p_text_unilateral	spatio_zero_p_val_bilateral	spatio_zero_p_text_bilateral
0	V1	ab	0.00431034168835119	0.006505187577542735	-0.07728214483986642	0.015423124235803415	0.08159248652821761	0.00390625	p < 0.01	0.0078125	p < 0.01	0.00431034168835119	0.2578125	p = 0.26	0.515625	p = 0.52	-0.07728214483986642	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V2	ab	0.004709262539083084	0.004655786966289584	-0.05851944300385817	0.0126152396359132	0.06322870554294126	0.00390625	p < 0.01	0.0078125	p < 0.01	0.004709262539083084	0.18359375	p = 0.18	0.3671875	p = 0.37	-0.05851944300385817	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V3	ab	0.0042908888327953185	0.006264845051829484	-0.05645918432740372	0.012464050255821525	0.060750073160199036	0.00390625	p < 0.01	0.0078125	p < 0.01	0.0042908888327953185	0.2578125	p = 0.26	0.515625	p = 0.52	-0.05645918432740372	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V3AB	ab	0.010539232385369357	0.01119262499352762	-0.030894617378939667	0.010117763144240323	0.04143384976430903	0.00390625	p < 0.01	0.0078125	p < 0.01	0.010539232385369357	0.265625	p = 0.27	0.53125	p = 0.53	-0.030894617378939667	0.015625	p < 0.05	0.03125	p < 0.05
0	hMT+	ab	0.009567707393201886	0.006577701470105839	0.0024696862798793324	0.006155599049966627	0.007098021113322554	0.0	p < 0.0001	0.0	p < 0.0001	0.009567707393201886	0.08203125	p = 0.08	0.1640625	p = 0.16	0.0024696862798793324	0.41015625	p = 0.41	0.8203125	p = 0.82
0	LO	ab	0.01048633024601264	0.010055855241932355	-0.016033371839330027	0.010241552156372315	0.026519702085342666	0.00390625	p < 0.01	0.0078125	p < 0.01	0.01048633024601264	0.18359375	p = 0.18	0.3671875	p = 0.37	-0.016033371839330027	0.078125	p = 0.08	0.15625	p = 0.16
0	VO	ab	0.007776877902764326	0.005929681274842761	-0.009150284529024959	0.0045124960931224025	0.016927162431789284	0.0	p < 0.0001	0.0	p < 0.0001	0.007776877902764326	0.10546875	p = 0.11	0.2109375	p = 0.21	-0.009150284529024959	0.04296875	p < 0.05	0.0859375	p = 0.09
0	iIPS	ab	0.009002387878861871	0.008668290874060807	0.0012172383033948186	0.00830217028256707	0.007785149575467052	0.0	p < 0.0001	0.0	p < 0.0001	0.009002387878861871	0.203125	p = 0.20	0.40625	p = 0.41	0.0012172383033948186	0.48046875	p = 0.48	0.9609375	p = 0.96
0	sIPS	ab	0.004012866959638031	0.004339123035570781	-0.0009135212046746887	0.004490387367968385	0.00492638816431272	0.00390625	p < 0.01	0.0078125	p < 0.01	0.004012866959638031	0.2578125	p = 0.26	0.515625	p = 0.52	-0.0009135212046746887	0.4375	p = 0.44	0.875	p = 0.88
0	iPCS	ab	0.0024214745200184067	0.0035533630348072425	0.00038943074201824596	0.004110175622406559	0.0020320437780001607	0.015625	p < 0.05	0.03125	p < 0.05	0.0024214745200184067	0.28515625	p = 0.29	0.5703125	p = 0.57	0.00038943074201824596	0.4609375	p = 0.46	0.921875	p = 0.92
0	sPCS	ab	0.005834899348414463	0.0060247258834054745	0.0018252781863476774	0.006492912766590958	0.004009621162066786	0.00390625	p < 0.01	0.0078125	p < 0.01	0.005834899348414463	0.234375	p = 0.23	0.46875	p = 0.47	0.0018252781863476774	0.46484375	p = 0.46	0.9296875	p = 0.93
0	mPCS	ab	0.004675082044892191	0.0034910915283513466	0.0032733966690116877	0.0035272944243070763	0.0014016853758805035	0.0	p < 0.0001	0.0	p < 0.0001	0.004675082044892191	0.05859375	p = 0.06	0.1171875	p = 0.12	0.0032733966690116877	0.2734375	p = 0.27	0.546875	p = 0.55
