	roi	cond	retino_r2change_mean	retino_r2change_sem	spatio_r2change_mean	spatio_r2change_sem	retino_spatio_diff	retino_spatio_p_val_unilateral	retino_spatio_p_text_unilateral	retino_spatio_p_val_bilateral	retino_spatio_p_text_bilateral	retino_zero_diff	retino_zero_p_val_unilateral	retino_zero_p_text_unilateral	retino_zero_p_val_bilateral	retino_zero_p_text_bilateral	spatio_zero_diff	spatio_zero_p_val_unilateral	spatio_zero_p_text_unilateral	spatio_zero_p_val_bilateral	spatio_zero_p_text_bilateral
0	V1	af	-0.002249634802341462	0.010530545768846442	-0.23594743072986601	0.03718757589242909	0.23369779592752454	0.00390625	p < 0.01	0.0078125	p < 0.01	-0.002249634802341462	0.4140625	p = 0.41	0.828125	p = 0.83	-0.23594743072986601	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V2	af	0.003361031219363213	0.011274431845189628	-0.15451780420541764	0.034028511275544925	0.15787883542478084	0.00390625	p < 0.01	0.0078125	p < 0.01	0.003361031219363213	0.37890625	p = 0.38	0.7578125	p = 0.76	-0.15451780420541764	0.00390625	p < 0.01	0.0078125	p < 0.01
0	V3	af	-0.011155296671881254	0.016059095415519364	-0.10382583893673966	0.029036251053437438	0.09267054226485841	0.00390625	p < 0.01	0.0078125	p < 0.01	-0.011155296671881254	0.28515625	p = 0.29	0.5703125	p = 0.57	-0.10382583893673966	0.0078125	p < 0.01	0.015625	p < 0.05
0	V3AB	af	0.017131533786654468	0.02946049765190176	-0.041871105119586	0.0344607282061902	0.05900263890624047	0.00390625	p < 0.01	0.0078125	p < 0.01	0.017131533786654468	0.31640625	p = 0.32	0.6328125	p = 0.63	-0.041871105119586	0.12890625	p = 0.13	0.2578125	p = 0.26
0	hMT+	af	0.04746168586611747	0.03732637456880229	0.030196910396218298	0.03982791785725644	0.017264775469899175	0.01171875	p < 0.05	0.0234375	p < 0.05	0.04746168586611747	0.16015625	p = 0.16	0.3203125	p = 0.32	0.030196910396218298	0.29296875	p = 0.29	0.5859375	p = 0.59
0	LO	af	0.026101159423589704	0.04339702002797137	-0.02371946243941784	0.04879180921417072	0.04982062186300754	0.0078125	p < 0.01	0.015625	p < 0.05	0.026101159423589704	0.33203125	p = 0.33	0.6640625	p = 0.66	-0.02371946243941784	0.34375	p = 0.34	0.6875	p = 0.69
0	VO	af	0.045986137151718134	0.03823184663032268	-0.0015017802715301606	0.045818929754432504	0.047487917423248295	0.00390625	p < 0.01	0.0078125	p < 0.01	0.045986137151718134	0.09765625	p = 0.10	0.1953125	p = 0.20	-0.0015017802715301606	0.484375	p = 0.48	0.96875	p = 0.97
0	iIPS	af	0.047080654725432394	0.03006144958454052	0.03414856313169003	0.031026486717360722	0.012932091593742367	0.01171875	p < 0.05	0.0234375	p < 0.05	0.047080654725432394	0.1015625	p = 0.10	0.203125	p = 0.20	0.03414856313169003	0.203125	p = 0.20	0.40625	p = 0.41
0	sIPS	af	0.06140945050120354	0.032242299202578824	0.04608998247981072	0.031582403757618345	0.01531946802139282	0.015625	p < 0.05	0.03125	p < 0.05	0.06140945050120354	0.05078125	p = 0.05	0.1015625	p = 0.10	0.04608998247981072	0.09765625	p = 0.10	0.1953125	p = 0.20
0	iPCS	af	0.03832467165589333	0.02377111676169161	0.03009205485880375	0.024772967693303737	0.00823261679708958	0.03515625	p < 0.05	0.0703125	p = 0.07	0.03832467165589333	0.10546875	p = 0.11	0.2109375	p = 0.21	0.03009205485880375	0.125	p = 0.12	0.25	p = 0.25
0	sPCS	af	0.027090824604034426	0.01985048120130481	0.013262385368347169	0.02064124665172144	0.013828439235687258	0.0	p < 0.0001	0.0	p < 0.0001	0.027090824604034426	0.09375	p = 0.09	0.1875	p = 0.19	0.013262385368347169	0.265625	p = 0.27	0.53125	p = 0.53
0	mPCS	af	0.018853071466088295	0.01193457389975579	0.013676602855324745	0.011288281213552508	0.005176468610763551	0.01953125	p < 0.05	0.0390625	p < 0.05	0.018853071466088295	0.09765625	p = 0.10	0.1953125	p = 0.20	0.013676602855324745	0.1328125	p = 0.13	0.265625	p = 0.27
